Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2018-11-10,270764,Forge Your World (FYW),0.31,12184,28,27,2,26
2018-11-11,270764,Forge Your World (FYW),0.31,12195,11,11,1,10
2018-11-12,270764,Forge Your World (FYW),0.33,12208,13,13,2,11
2018-11-13,270764,Forge Your World (FYW),0.33,12222,14,9,1,13
2018-11-14,270764,Forge Your World (FYW),0.33,12230,8,8,0,8
2018-11-15,270764,Forge Your World (FYW),0.33,12246,16,15,0,16
2018-11-16,270764,Forge Your World (FYW),0.33,12261,15,12,1,14
2018-11-17,270764,Forge Your World (FYW),0.33,12279,18,16,2,16
2018-11-18,270764,Forge Your World (FYW),0.33,12293,14,13,1,13
2018-11-19,270764,Forge Your World (FYW),0.34,12300,7,7,0,7
2018-11-20,270764,Forge Your World (FYW),0.34,12308,8,8,2,6
2018-11-21,270764,Forge Your World (FYW),0.34,12322,14,11,3,11
2018-11-22,270764,Forge Your World (FYW),0.34,12333,11,8,1,10
2018-11-23,270764,Forge Your World (FYW),0.34,12340,7,7,0,7
2018-11-24,270764,Forge Your World (FYW),0.33,12350,10,9,1,9
2018-11-25,270764,Forge Your World (FYW),0.33,12357,7,6,0,7
2018-11-26,270764,Forge Your World (FYW),0.33,12358,1,1,0,1
2018-11-27,270764,Forge Your World (FYW),0.33,12373,15,11,2,13
2018-11-28,270764,Forge Your World (FYW),0.33,12380,7,5,1,6
2018-11-29,270764,Forge Your World (FYW),0.33,12391,11,8,2,9
2018-11-30,270764,Forge Your World (FYW),0.33,12399,8,8,1,7
2018-12-01,270764,Forge Your World (FYW),0.33,12420,21,19,3,18
2018-12-02,270764,Forge Your World (FYW),0.33,12436,16,15,2,14
2018-12-03,270764,Forge Your World (FYW),0.33,12445,9,9,0,9
2018-12-04,270764,Forge Your World (FYW),0.34,12461,16,12,1,15
2018-12-05,270764,Forge Your World (FYW),0.34,12474,13,12,1,12
2018-12-06,270764,Forge Your World (FYW),0.34,12483,9,9,1,8
2018-12-07,270764,Forge Your World (FYW),0.34,12500,17,15,0,17
2018-12-08,270764,Forge Your World (FYW),0.34,12531,31,29,6,25
2018-12-09,270764,Forge Your World (FYW),0.34,12542,11,10,1,10
2018-12-10,270764,Forge Your World (FYW),0.34,12556,14,14,0,14
2018-12-11,270764,Forge Your World (FYW),0.34,12572,16,15,1,15
2018-12-12,270764,Forge Your World (FYW),0.34,12588,16,16,2,14
2018-12-13,270764,Forge Your World (FYW),0.34,12617,29,22,0,29
2018-12-14,270764,Forge Your World (FYW),0.34,12638,21,18,0,21
2018-12-15,270764,Forge Your World (FYW),0.34,12650,12,11,1,11
2018-12-16,270764,Forge Your World (FYW),0.34,12667,17,17,2,15
2018-12-17,270764,Forge Your World (FYW),0.34,12684,17,17,1,16
2018-12-18,270764,Forge Your World (FYW),0.34,12705,21,18,0,21
2018-12-19,270764,Forge Your World (FYW),0.34,12717,12,9,0,12
2018-12-20,270764,Forge Your World (FYW),0.34,12732,15,14,0,15
2018-12-21,270764,Forge Your World (FYW),0.34,12745,13,12,0,13
2018-12-22,270764,Forge Your World (FYW),0.34,12756,11,10,1,10
2018-12-23,270764,Forge Your World (FYW),0.34,12773,17,15,0,17
2018-12-24,270764,Forge Your World (FYW),0.34,12782,9,8,0,9
2018-12-25,270764,Forge Your World (FYW),0.34,12793,11,10,1,10
2018-12-26,270764,Forge Your World (FYW),0.34,12807,14,14,2,12
2018-12-27,270764,Forge Your World (FYW),0.34,12820,13,12,2,11
2018-12-28,270764,Forge Your World (FYW),0.34,12839,19,16,0,19
2018-12-29,270764,Forge Your World (FYW),0.34,12849,10,9,0,10
2018-12-30,270764,Forge Your World (FYW),0.34,12863,14,13,0,14
2018-12-31,270764,Forge Your World (FYW),0.44,12884,21,17,2,19
2019-01-01,270764,Forge Your World (FYW),0.44,12905,21,18,0,21
2019-01-02,270764,Forge Your World (FYW),0.44,12918,13,12,0,13
2019-01-03,270764,Forge Your World (FYW),0.44,12941,23,21,2,21
2019-01-04,270764,Forge Your World (FYW),0.44,12951,10,9,1,9
2019-01-05,270764,Forge Your World (FYW),0.43,12969,18,15,0,18
2019-01-06,270764,Forge Your World (FYW),0.43,12982,13,12,3,10
2019-01-07,270764,Forge Your World (FYW),0.44,13006,24,22,3,21
2019-01-08,270764,Forge Your World (FYW),0.43,13016,10,10,0,10
2019-01-09,270764,Forge Your World (FYW),0.43,13025,9,9,0,9
2019-01-10,270764,Forge Your World (FYW),0.43,13036,11,10,0,11
2019-01-11,270764,Forge Your World (FYW),0.43,13051,15,14,0,15
2019-01-12,270764,Forge Your World (FYW),0.43,13071,20,20,1,19
2019-01-13,270764,Forge Your World (FYW),0.43,13094,23,21,2,21
2019-01-14,270764,Forge Your World (FYW),0.43,13108,14,14,0,14
2019-01-15,270764,Forge Your World (FYW),0.43,13116,8,7,0,8
2019-01-16,270764,Forge Your World (FYW),0.43,13124,8,6,0,8
2019-01-17,270764,Forge Your World (FYW),0.43,13143,19,19,0,19
2019-01-18,270764,Forge Your World (FYW),0.43,13162,19,18,1,18
2019-01-19,270764,Forge Your World (FYW),0.43,13176,14,14,0,14
2019-01-20,270764,Forge Your World (FYW),0.43,13192,16,16,3,13
2019-01-21,270764,Forge Your World (FYW),0.43,13201,9,7,0,9
2019-01-22,270764,Forge Your World (FYW),0.43,13218,17,16,1,16
2019-01-23,270764,Forge Your World (FYW),0.43,13234,16,15,1,15
2019-01-24,270764,Forge Your World (FYW),0.43,13244,10,8,0,10
2019-01-25,270764,Forge Your World (FYW),0.43,13253,9,9,0,9
2019-01-26,270764,Forge Your World (FYW),0.43,13268,15,15,2,13
2019-01-27,270764,Forge Your World (FYW),0.42,13288,20,18,3,17
2019-01-28,270764,Forge Your World (FYW),0.42,13298,10,10,0,10
2019-01-29,270764,Forge Your World (FYW),0.42,13309,11,11,1,10
2019-01-30,270764,Forge Your World (FYW),0.42,13323,14,14,3,11
2019-01-31,270764,Forge Your World (FYW),0.42,13342,19,16,1,18
2019-02-01,270764,Forge Your World (FYW),0.47,13363,21,19,1,20
2019-02-02,270764,Forge Your World (FYW),0.47,13382,19,16,3,16
2019-02-03,270764,Forge Your World (FYW),0.47,13394,12,9,0,12
2019-02-04,270764,Forge Your World (FYW),0.46,13407,13,13,1,12
2019-02-05,270764,Forge Your World (FYW),0.46,13418,11,11,1,10
2019-02-06,270764,Forge Your World (FYW),0.46,13428,10,9,0,10
2019-02-07,270764,Forge Your World (FYW),0.46,13441,13,13,1,12
2019-02-08,270764,Forge Your World (FYW),0.46,13458,17,16,2,15
2019-02-09,270764,Forge Your World (FYW),0.46,13469,11,9,1,10
2019-02-10,270764,Forge Your World (FYW),0.46,13485,16,14,0,16
2019-02-11,270764,Forge Your World (FYW),0.46,13508,23,21,2,21
2019-02-12,270764,Forge Your World (FYW),0.46,13521,13,8,0,13
2019-02-13,270764,Forge Your World (FYW),0.46,13530,9,9,1,8
2019-02-14,270764,Forge Your World (FYW),0.45,13544,14,13,1,13
2019-02-15,270764,Forge Your World (FYW),0.45,13564,20,20,1,19
2019-02-16,270764,Forge Your World (FYW),0.46,13583,19,16,0,19
2019-02-17,270764,Forge Your World (FYW),0.46,13604,21,11,0,21
2019-02-18,270764,Forge Your World (FYW),0.45,13629,25,20,1,24
2019-02-19,270764,Forge Your World (FYW),0.45,13641,12,10,0,12
2019-02-20,270764,Forge Your World (FYW),0.45,13656,15,13,0,15
2019-02-21,270764,Forge Your World (FYW),0.45,13663,7,7,0,7
2019-02-22,270764,Forge Your World (FYW),0.45,13689,26,12,1,25
2019-02-23,270764,Forge Your World (FYW),0.45,13707,18,17,1,17
2019-02-24,270764,Forge Your World (FYW),0.45,13719,12,11,0,12
2019-02-25,270764,Forge Your World (FYW),0.45,13736,17,11,1,16
2019-02-26,270764,Forge Your World (FYW),0.45,13745,9,8,0,9
2019-02-27,270764,Forge Your World (FYW),0.45,13753,8,8,1,7
2019-02-28,270764,Forge Your World (FYW),0.45,13783,30,9,0,30
2019-03-01,270764,Forge Your World (FYW),0.37,13798,15,15,0,15
2019-03-02,270764,Forge Your World (FYW),0.37,13814,16,12,0,16
