Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2019-08-22,336883,JANOEO,0,21,21,20,3,18
2019-08-23,336883,JANOEO,0,75,54,51,10,44
2019-08-24,336883,JANOEO,0,103,28,28,3,25
2019-08-25,336883,JANOEO,0,130,27,20,2,25
2019-08-26,336883,JANOEO,0.08,154,24,24,5,19
2019-08-27,336883,JANOEO,0.09,190,36,31,14,22
2019-08-28,336883,JANOEO,0.1,236,46,41,14,32
2019-08-29,336883,JANOEO,0.12,259,23,18,7,16
2019-08-30,336883,JANOEO,0.13,278,19,18,9,10
2019-08-31,336883,JANOEO,0.13,332,54,41,16,38
2019-09-01,336883,JANOEO,0.23,419,87,72,27,60
2019-09-02,336883,JANOEO,0.26,479,60,49,10,50
2019-09-03,336883,JANOEO,0.28,498,19,15,1,18
2019-09-04,336883,JANOEO,0.28,525,27,23,4,23
2019-09-05,336883,JANOEO,0.29,539,14,13,4,10
2019-09-06,336883,JANOEO,0.3,557,18,17,2,16
2019-09-07,336883,JANOEO,0.3,571,14,14,1,13
2019-09-08,336883,JANOEO,0.31,596,25,22,3,22
2019-09-09,336883,JANOEO,0.32,610,14,12,3,11
2019-09-10,336883,JANOEO,0.32,623,13,12,0,13
2019-09-11,336883,JANOEO,0.33,639,16,16,1,15
2019-09-12,336883,JANOEO,0.33,652,13,13,0,13
2019-09-13,336883,JANOEO,0,677,25,24,11,14
2019-09-14,336883,JANOEO,0.37,698,21,18,3,18
2019-09-15,336883,JANOEO,0.37,711,13,13,1,12
2019-09-16,336883,JANOEO,0.38,741,30,26,13,17
2019-09-17,336883,JANOEO,0.38,760,19,19,7,12
2019-09-18,336883,JANOEO,0.39,774,14,13,7,7
2019-09-19,336883,JANOEO,0.4,785,11,9,1,10
2019-09-20,336883,JANOEO,0.4,804,19,15,6,13
2019-09-21,336883,JANOEO,0.41,813,9,9,3,6
2019-09-22,336883,JANOEO,0.41,817,4,4,3,1
2019-09-23,336883,JANOEO,0.41,846,29,22,6,23
